Species,longitude,latitude
A flinckii,-104.7228,20.3493
A flinckii,-102.3255,19.3951
A flinckii,-104.764,20.734
A flinckii,-101.2845,19.3818
A flinckii,-104.5376,19.9043
A flinckii,-104.5807,20.008
A flinckii,-102.95,18.767
A flinckii,-103.7073,20.0738
A flinckii,-100.905,19.68
A flinckii,-104.2136,19.5786
A flinckii,-104.9583,20.3444
A flinckii,-103.58333,19.61667
A flinckii,-104.723,20.2135
A flinckii,-103.933,19.45
A flinckii,-103.6463,19.5444
A flinckii,-101.3632,19.298
A flinckii,-104.8336,20.2448
A flinckii,-100.75,19.583
A flinckii,-104.626,20.169
