Species,longitude,latitude
A religiosa,-99.30667,19.26944
A religiosa,-98.75,19.17
A religiosa,-100.823,19.658
A religiosa,-97.131,19.14
A religiosa,-103.95,19.45
A religiosa,-99.007068,19.184616
A religiosa,-99.119551,19.178771
A religiosa,-99.210997,19.239906
A religiosa,-99.412899,19.293671
A religiosa,-99.382122,19.433526
A religiosa,-98.670791,19.347818
A religiosa,-98.772019,19.485748
A religiosa,-98.693415,18.975312
A religiosa,-99.34055,19.515985
A religiosa,-101.39308,18.21325
A religiosa,-98.721516,20.19603
A religiosa,-104.1,19.55833
A religiosa,-100.243684,19.582867
A religiosa,-102.973235,18.720725
A religiosa,-101.866781,19.799229
A religiosa,-102.348221,19.733854
A religiosa,-101.513835,19.728615
A religiosa,-100.2666667,19.8333333
A religiosa,-100.30667,19.67639
A religiosa,-98.51111,19.0875
A religiosa,-99.56937,20.79973
A religiosa,-99.692182,21.167737
A religiosa,-98.074149,19.694801
A religiosa,-97.232831,18.959351
A religiosa,-97.2,19.4
A religiosa,-99.30029,19.0507
A religiosa,-102.333,19.4
A religiosa,-97.06667,19.63333
A religiosa,-100.363,19.536
A religiosa,-98.537404,19.831336
A religiosa,-104.5,20
A religiosa,-100.31806,19.3875
A religiosa,-101.41667,19.45
A religiosa,-101.283493,19.519647
A religiosa,-101.531538,19.392873
A religiosa,-97.781956,19.472484
A religiosa,-97.887359,19.887359
A religiosa,-99.8,19.183
A religiosa,-100.183,19.433
A religiosa,-103.583,19.583
A religiosa,-97.35,18.967
A religiosa,-97.15,19.517
A religiosa,-98.055,19.253
A religiosa,-99.963,19.263
A religiosa,-100.182,20.929
A religiosa,-98.608,19.259
